run_id,seed,method,n_features,accuracy,precision,recall,f1,roc_auc,training_time
18,60,variance_threshold,43,0.9361486330736251,0.9370687659180366,0.9987168097917284,0.9669111498674057,0.6985383705784524,2.746551036834717
18,60,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6404682459638774,0.04152107238769531
18,60,mutual_info,10,0.9360564289336591,0.9369415250706051,0.9987661632612773,0.9668665344831705,0.6204118282825289,0.09182500839233398
18,60,rfe,10,0.9341201419943755,0.9342002121086365,0.9999012930609021,0.9659348256215882,0.627809167367251,0.046256065368652344
18,60,rfecv,31,0.9363791434235397,0.9372047791053071,0.9988155167308261,0.9670298165137615,0.7035046800144145,0.15122509002685547
18,60,l1,43,0.9362869392835739,0.9371179848120023,0.9988155167308261,0.9669836112571074,0.7045029221467495,0.2811269760131836
18,60,rf_topk,10,0.9361486330736251,0.9369878235103477,0.9988155167308261,0.9669143116504623,0.6749479474586211,0.031996965408325195
18,60,rf_median,23,0.9362408372135909,0.9370341219500903,0.9988648702003751,0.966962088817754,0.6926748744698474,0.11780810356140137
19,61,baseline,46,0.9356876123737956,0.937080109345318,0.9981739216266904,0.9666626837137053,0.7015885807744993,3.203594207763672
19,61,variance_threshold,43,0.9356876123737956,0.936918160344588,0.998371335504886,0.9666690559816501,0.6969599920537115,2.9383981227874756
19,61,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6500171925522333,0.04064798355102539
19,61,mutual_info,10,0.9355032040938638,0.9367041718757235,0.9984206889744349,0.9665782746840584,0.6264475607470754,0.10969018936157227
19,61,rfe,10,0.9340740399243926,0.9341571375876061,0.9999012930609021,0.965911799761621,0.6232188457173241,0.04500603675842285
19,61,rfecv,33,0.9358259185837444,0.937007874015748,0.9984206889744349,0.9667399407435726,0.7010463315452112,0.20704197883605957
19,61,l1,44,0.9356876123737956,0.937080109345318,0.9981739216266904,0.9666626837137053,0.7015563231533946,0.2894859313964844
19,61,rf_topk,10,0.9357337144437785,0.9368806149856441,0.9984700424439839,0.9666953363914373,0.6738633108517745,0.03324484825134277
19,61,rf_median,23,0.9356415103038126,0.9369962012415455,0.9982232750962393,0.9666411775951061,0.6915155687229277,0.09815502166748047
20,62,baseline,46,0.9351343875340002,0.9363977225385363,0.998371335504886,0.9663919742027947,0.7067023462204257,2.6931862831115723
20,62,variance_threshold,43,0.9352265916739662,0.9363228284511084,0.9985687493830816,0.9664445558978768,0.702054658501275,2.411431074142456
20,62,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6561048860349298,0.048999786376953125
20,62,mutual_info,10,0.9352726937439491,0.9364065537350736,0.9985193959135327,0.9664660361134996,0.654290135819781,0.08926939964294434
20,62,rfe,10,0.9342123461343415,0.9342863730689417,0.9999012930609021,0.9659808806350871,0.6369063345748028,0.04438018798828125
20,62,rfecv,27,0.9350421833940344,0.9363110391113169,0.998371335504886,0.9663458093486517,0.6900518014568978,0.1572871208190918
20,62,l1,43,0.9350882854640173,0.9363543788187373,0.998371335504886,0.9663688912243825,0.706757052935447,0.2780442237854004
20,62,rf_topk,10,0.9351343875340002,0.9363169343268385,0.9984700424439839,0.9663951849817287,0.6829343853047817,0.03386807441711426
20,62,rf_median,23,0.9352265916739662,0.9364036102753992,0.9984700424439839,0.9664413499892517,0.6966972685807524,0.11467313766479492
21,63,baseline,46,0.9353187958139321,0.9364094969222937,0.9985687493830816,0.9664907210585397,0.6994939421638122,3.08555006980896
21,63,variance_threshold,43,0.9352726937439491,0.9363257751041185,0.9986181028526305,0.9664692395873137,0.6937425879135874,2.987799882888794
21,63,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6515754014295169,0.05030703544616699
21,63,mutual_info,10,0.9355493061638468,0.9365049981488338,0.9987168097917284,0.9666109386195366,0.6173877108410266,0.09956979751586914
21,63,rfe,10,0.9341201419943755,0.9341601733597676,0.9999506465304511,0.9659364496674692,0.6335484163752948,0.04900407791137695
21,63,rfecv,29,0.9355493061638468,0.9365049981488338,0.9987168097917284,0.9666109386195366,0.6839251156249218,0.16825509071350098
21,63,l1,44,0.9353187958139321,0.9364094969222937,0.9985687493830816,0.9664907210585397,0.699526510618525,0.2977790832519531
21,63,rf_topk,10,0.9354571020238809,0.9364587189929656,0.9986674563221795,0.9665631717219967,0.6692150014654077,0.03304791450500488
21,63,rf_median,23,0.9352265916739662,0.9363632156245661,0.9985193959135327,0.9664429530201343,0.687795408490275,0.1159517765045166
22,64,baseline,46,0.9359642247936932,0.9367738949317288,0.9988648702003751,0.9668235125516517,0.7072463395716257,3.569983959197998
22,64,variance_threshold,43,0.936102531003642,0.9367422489588154,0.9990622840785707,0.9668991211310661,0.7032640429961624,3.4890689849853516
22,64,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6470753942112697,0.04276609420776367
22,64,mutual_info,10,0.9359642247936932,0.9366930445647647,0.9989635771394729,0.9668266819517088,0.6088462795876468,0.11304092407226562
22,64,rfe,10,0.9342123461343415,0.9342062796809443,1.0,0.9659841243355343,0.6447480966449379,0.04666614532470703
22,64,rfecv,37,0.9359642247936932,0.9367738949317288,0.9988648702003751,0.9668235125516517,0.7062227817687662,0.23187780380249023
